,Date,CCI
1896,2013-03-11,99.55324
1897,2013-03-12,99.92464
1898,2013-03-13,100.0461
1899,2013-03-14,100.0739
1900,2013-03-15,100.2218
1901,2013-03-16,100.3294
1902,2013-03-17,100.2522
1903,2013-03-18,100.0229
1904,2013-03-19,99.70485
1905,2013-03-20,99.41923
1906,2013-03-21,99.1702
1907,2013-03-22,98.99599
1908,2013-03-23,98.67995
1909,2013-03-24,98.39555
1910,2013-03-25,98.12573
1911,2013-03-26,97.8578
1912,2013-03-27,97.4945
1913,2013-03-28,97.27894
1914,2013-03-29,97.14919
1915,2013-03-30,97.17804
1916,2013-03-31,97.50097
1917,2013-04-01,97.52528000000001
1918,2013-04-02,97.26576999999999
1919,2013-04-03,96.87212
1920,2013-04-04,96.52984000000001
1921,2013-04-05,96.31589
1922,2013-04-06,96.33935
1923,2013-04-07,96.50702
1924,2013-04-08,96.76895
1925,2013-04-09,96.8387
1926,2013-04-10,96.71587
1927,2013-04-11,96.59399
1928,2013-04-12,96.60223
1929,2013-04-13,96.74809
1930,2013-04-14,96.97626
1931,2013-04-15,97.0677
1932,2013-04-16,97.03903000000001
1933,2013-04-17,97.11831
1934,2013-04-18,97.39269
1935,2013-04-19,97.46015
1936,2013-04-20,97.45513000000001
1937,2013-04-21,97.42074000000001
1938,2013-04-22,97.51548000000001
1939,2013-04-23,97.68902
1940,2013-04-24,97.9909
1941,2013-04-25,98.48668
1942,2013-04-26,99.18016
1943,2013-04-27,99.62966999999999
1944,2013-04-28,99.80117
1945,2013-04-29,99.77561
1946,2013-04-30,99.75676999999999
1947,2013-05-01,99.9847
1948,2013-05-02,100.396
1949,2013-05-03,100.7097
1950,2013-05-04,101.00200000000001
1951,2013-05-05,101.236
1952,2013-05-06,101.3725
